song_name,artist_name,primary_feeling,youtube_music_url,core_affect_quadrant,song_download_status,wav_filename
Nothing Else Matters,Metallica,Happy,https://music.youtube.com/watch?v=pTYIf2pkxzQ,Quadrant 1,Success,nothingelsematters.wav
Thunderstruck,AC/DC,Upbeat,https://music.youtube.com/watch?v=lhg9bYNLvOg,Quadrant 1,Success,thunderstruck.wav
Beat It,Michael Jackson,Independent,https://music.youtube.com/watch?v=kOn-HdEg6AQ,Quadrant 1,Success,beatit.wav
Enchanted,Taylor Swift,Comforted,https://music.youtube.com/watch?v=fvg01l43XBc,Quadrant 4,Success,enchanted.wav
Opus,Eric Prydz,Joy,https://music.youtube.com/watch?v=gt1pKrwxAJU,Quadrant 1,Success,opus.wav
It's My Life,Bon Jovi,Empowered,https://music.youtube.com/watch?v=bY3vXr7fm8k,Quadrant 1,Success,it'smylife.wav
The End,The Doors,Nostalgic,https://music.youtube.com/watch?v=BXqPNlng6uI,Quadrant 4,Success,theend.wav
Royals,Lorde,Happy,https://music.youtube.com/watch?v=cVWOEx4Xdhs,Quadrant 1,Success,royals.wav
Ride,King Von,Excited,https://music.youtube.com/watch?v=FLQ7djBxn_c,Quadrant 1,Success,ride.wav
When I'm Gone,3 Doors Down,Bittersweet,https://music.youtube.com/watch?v=Gt4xZnBBOHQ,Quadrant 3,Success,wheni'mgone.wav
�nema,Tool,Awestruck,https://music.youtube.com/watch?v=tqjOrkMHUkk,Quadrant 1,Success,ænema.wav
Three Little Birds,Bob Marley & The Wailers,Happy,https://music.youtube.com/watch?v=MUNNRAdizz0,Quadrant 1,Success,threelittlebirds.wav
Lay It On The Line,Triumph,Awesome,https://music.youtube.com/watch?v=E_HQnms4AEs,Quadrant 1,Success,layitontheline.wav
Lonely Boy,The Black Keys,Upbeat,https://music.youtube.com/watch?v=9DYPfItb2fk,Quadrant 1,Success,lonelyboy.wav
Butterflies,Michael Jackson,Happy,https://music.youtube.com/watch?v=HksLQx6SbMg,Quadrant 1,Success,butterflies.wav
Lifestyle,Rich Gang,Good,https://music.youtube.com/watch?v=atKSvW8DVos,Quadrant 1,Success,lifestyle.wav
Yes I'm A Mess,AJR,Validated,https://music.youtube.com/watch?v=GyDN8KrE9Kg,Quadrant 4,Success,yesi'mamess.wav
Paradise City,Guns N' Roses,Nostalgic,https://music.youtube.com/watch?v=T0ZmErXkbxE,Quadrant 4,Success,paradisecity.wav
WIN,Jay Rock,Happy,https://music.youtube.com/watch?v=oT_SmwxVfwE,Quadrant 1,Success,win.wav
My Sacrifice,Creed,Euphoric,https://music.youtube.com/watch?v=7BMyt8Znpkk,Quadrant 1,Success,mysacrifice.wav
What Do I Have to Do?,Stabbing Westward,Empathy,https://music.youtube.com/watch?v=tdNNQnL7vVQ,Quadrant 4,Success,whatdoihavetodo？.wav
Wonderwall,Oasis,Youthful,https://music.youtube.com/watch?v=hpSrLjc5SMs,Quadrant 1,Success,wonderwall.wav
Seasons in the Abyss,Slayer,Energized,https://music.youtube.com/watch?v=hVJ4rYjUgX4,Quadrant 1,Success,seasonsintheabyss(albumversion).wav
The One,Mary J. Blige,Empowered,https://music.youtube.com/watch?v=OdMtm4v331g,Quadrant 1,Success,theone(main).wav
Sensational ,Chris Brown,Enthusiastic,https://music.youtube.com/watch?v=k_aixXMK068,Quadrant 1,Success,sensational.wav
luther,Kendrick Lamar,Good,https://music.youtube.com/watch?v=XVveECQmiAk,Quadrant 1,Success,luther.wav
Welcome To The Jungle,Guns N' Roses,Energized,https://music.youtube.com/watch?v=0CNPR2qNzxk,Quadrant 1,Success,welcometothejungle.wav
Walk,Pantera,Confident,https://music.youtube.com/watch?v=kOV2iTeGQik,Quadrant 1,Success,walk.wav
Shake It Off,Taylor Swift,Happy,https://music.youtube.com/watch?v=1nFxMuPYeKA,Quadrant 1,Success,shakeitoff.wav
Kryptonite,3 Doors Down,Energized,https://music.youtube.com/watch?v=UjWZGLi-1jM,Quadrant 1,Success,kryptonite.wav
Die With A Smile,Lady Gaga & Bruno Mars,Happy,https://music.youtube.com/watch?v=DlFXDl_ROAM,Quadrant 1,Success,diewithasmile.wav
Calm Down,Rema,Calm,https://music.youtube.com/watch?v=Fm4WiX6i1FE,Quadrant 4,Success,calmdown.wav
Gethsemane,Sleep Token,Bitter,https://music.youtube.com/watch?v=DZtq-IqULAo,Quadrant 2,Success,gethsemane.wav
God's Plan,Drake,Inspired,https://music.youtube.com/watch?v=FrsOnNxIrg8,Quadrant 4,Success,god'splan.wav
Iron Man,Black Sabbath,Joy,https://music.youtube.com/watch?v=Y68sopy2yBE,Quadrant 1,Success,ironman(2012-remaster).wav
Aloha Ke Akua,Nahko And Medicine For The People,Hopeful,https://music.youtube.com/watch?v=suu2Brsj_gI,Quadrant 4,Success,alohakeakua.wav
Glycerine,Bush,Nostalgic,https://music.youtube.com/watch?v=ONHA6YHjI9o,Quadrant 4,Success,glycerine(remastered).wav
Total Eclipse of the Heart,Bonnie Tyler,Nostalgic,https://music.youtube.com/watch?v=fSeFxzeo5Ts,Quadrant 4,Success,totaleclipseoftheheart.wav
Ms. Jackson,OutKast,Euphoric,https://music.youtube.com/watch?v=CSD2J8yaMmM,Quadrant 1,Success,ms.jackson.wav
Everyday Yours,Drake White,Happy,https://music.youtube.com/watch?v=0u2q548U2TQ,Quadrant 1,Success,everydayyours.wav
Drops of Jupiter (Tell Me),Train,Elated,https://music.youtube.com/watch?v=qthko5ppHcM,Quadrant 1,Success,dropsofjupiter(tellme).wav
Celibate Now,Girl in a Coma,Euphoric,https://music.youtube.com/watch?v=MrHVXDl1rk0,Quadrant 1,Success,celibatenow.wav
Heal the World,Michael Jackson,Inspired,https://music.youtube.com/watch?v=cyCMuCFCkdk,Quadrant 4,Success,healtheworld.wav
Us and Them,Pink Floyd,Powerful,https://music.youtube.com/watch?v=5wth9BScmGY,Quadrant 1,Success,usandthem.wav
Hold the Line,Toto,Melancholic,https://music.youtube.com/watch?v=ZP69PLBqFUo,Quadrant 3,Success,holdtheline.wav
